name,fake_name
Isa,Toni
Graziella,Luca
Fabia,Amalia
Ivo,Pierpaolo
Napoleone,Nedda
Lara,Enzio
Pina,Donatello
Silvestro,Flora
Raffaele,Paoletta
Pierina,Gian
Gino,Gianluca
Donato,Renata
Giampaolo,Clelia
Luigi,Sergius
Tonino,Massimiliano
Elena,Gilberto
Nicolò,Bruno
Adriano,Raffaello
Ennio,Ricciotti
Lisa,Giampaolo
Guido,Tonino
Delfino,Fabia
Maria,Fortunata
Gemma,Roberto
Angelica,Domenico
Paoletta,Costantino
Gianfranco,Rodolfo
Vincentio,Roberta
Camilla,Danilo
Roman,Mattia
Veronica,Ezio
Rita,Salvatore
Coluccio,Paola
Michele,Ciro
Piermaria,Nico
Biagio,Lisa
Paolo,Elisa
Annunziata,Vittorio
Ilaria,Natalia
Olga,Salvi
Simone,Aurora
Sylvia,Mirco
Monica,Girolamo
Venancio,Piergiuseppe
Liberto,Micheletto
Camillo,Bernardo
Benvenuto,Virginia
Renzo,Lucio
Sante,Rocco
Virgilio,Lauretta
Donatella,Hugo
Arturo,Lucrezia
Laureano,Nicola
Carla,Antonia
Mauro,Beatrice
Hugo,Dolores
Marco,Romeo
Fabrizio,Martina
Ida,Giosuè
Gioele,Alderano
Bettina,Ronaldo
Loredana,Sole
Gianmarco,Renzo
Lando,Sonia
Rosario,Leone
Carmelo,Ruggiero
Leone,Alphons
Romolo,Adriano
Valeria,Orlando
Rolando,Erika
Fortunata,Dino
Ludovico,Silvestro
Ignazio,Matilda
Vincenzo,Amico
Antonina,Corrado
Antonio,Arnulfo
Patrizia,Beppe
Filippa,Fiorino
Nicoletta,Cipriano
Adelmo,Rembrandt
Amanda,Martino
Rosalia,Serena
Caterina,Enzo
Alberto,Antonietta
Emma,Gianluigi
Gioffre,Marisa
Costanzo,Flavia
Ricciotti,Angelo
Domenico,Mario
Coriolano,Rosaria
Marina,Antonello
Liana,Sebastiano
Gustavo,Pietro
Enrico,Camilla
Carlo,Durante
Armando,Giancarlo
Giampiero,Raffaele
Pierpaolo,Carmelo
Isabella,Aldo
Viridiana,Valentina
Riccardo,Cesare
Silvia,Marcantonio
Bianca,Fiamma
Giorgia,Roman
Giorgio,Giulietta
Pasqual,Giuseppina
Gelsomina,Federica
Cristina,Orazio
Susanna,Licia
Carolina,Franco
Gianluigi,Lidia
Fiorino,Adamo
Flavio,Adelasia
Melissa,Pierluigi
Bartolomeo,Mauro
Paola,Caterina
Laura,Simonetta
Tiziano,Gabriele
Aria,Zaira
Fausto,Giorgia
Rodolfo,Azeglio
Ermanno,Pier
Lina,Liliana
Roberta,Massimo
Mirco,Ludovica
Geronimo,Isabella
Eva,Tatiana
Lolita,Maria
Tullio,Fabrizia
Elisa,Ugo
Annetta,Biagio
Giosuè,Paloma
Giustino,Atenulf
Alessio,Valeria
Leopoldo,Rosa
Manuel,Gionata
Gaspare,Puccio
Antonietta,Ermes
Flora,Stefani
Giacomo,Fernanda
Amedeo,Giulia
Rocco,Delfino
Romeo,Pierangelo
Maura,Ludovico
Serafina,Arturo
Victoria,Riccardo
Giovanni,Mirko
Giuseppina,Gianni
Luca,Galasso
Tatiana,Fabio
Daria,Giuliano
Adele,Romina
Annibale,Irma
Gianpaolo,Leopoldo
Calogero,Augusto
Marcantonio,Jacopo
Lodovico,Arnaldo
Pellegrino,Ranieri
Mercedes,Virgilio
Puccio,Vanessa
Gianluca,Benito
Serena,Ramona
Massimo,Alfredo
Marcella,Ermenegildo
Mariana,Elena
Gabriele,Luciana
Sandra,Goffredo
Milo,Paride
Bernardo,Nino
Galasso,Patrizia
Nina,Gianna
Augusto,Giacomo
Adelasia,Vincentio
Agnolo,Lorenzo
Daniele,Aria
Letizia,Claudia
Ippazio,Germana
Rossana,Francesca
Loretta,Alberico
Melania,Stella
Dolores,Santino
Liliana,Victoria
Elmo,Armando
Barbara,Fabrizio
Gianfrancesco,Ubaldo
Giacinto,Greca
Fedele,Gastone
Paride,Ippazio
Sabatino,Piero
Mirko,Lando
Annalisa,Etta
Micheletto,Sabatino
Fabio,Loretta
Filippo,Nicolò
Rosaria,Adele
Claudia,Antonino
Lazzaro,Gelsomina
Emilio,Piersanti
Dario,Piermaria
Morena,Guglielmo
Etta,Telemaco
Beatrice,Ansaldo
Ciro,Gemma
Gianpietro,Romana
Sandro,Severino
Mario,Lucia
Ansaldo,Silvio
Antonella,Sandro
Enzo,Rosario
Ramona,Sylvia
Gianna,Concetta
Gianni,Eraldo
Gionata,Allegra
Vincenza,Adriana
Alfredo,Angelina
Lilla,Raffaellino
Ugolino,Giustino
Pasquale,Rosalia
Livia,Osvaldo
Cecilia,Tiziano
Licia,Maurizio
Giulia,Isa
Alberico,Carlo
Damiano,Gloria
Mariano,Stefano
Ermes,Filippo
Matilda,Giampiero
Concetta,Gioele
Ubaldo,Eleanora
Ernesto,Baldassare
Pomponio,Daria
Alessandra,Donato
Iolanda,Gabriella
Ronaldo,Pomponio
Michelotto,Viridiana
Severino,Camillo
Pier,Luchino
Beppe,Claudio
Cipriano,Serafina
Fernanda,Berenice
Raffaellino,Ilaria
Giuliana,Alessandro
Evangelista,Michelangelo
Salvi,Liana
Gioachino,Cecilia
Fiorenzo,Paolo
Ottavio,Agostino
Agostino,Raffaella
Amleto,Ottone
Michela,Alfio
Vanessa,Antonio
Niccolò,Bianca
Greco,Antonella
Dionigi,Gaetano
Priscilla,Michela
Romina,Gianmarco
Antonino,Gianfranco
Angelina,Fedele
Tina,Liberto
Pietro,Benedetto
Fiamma,Greco
Renata,Filippa
Giulio,Diana
Giulietta,Marina
Margherita,Luisa
Maurilio,Priscilla
Alessandro,Lilla
Livio,Tiziana
Ugo,Paulina
Imelda,Nicoletta
Enzio,Ivan
Erika,Tina
Osvaldo,Baccio
Federigo,Emma
Ferdinando,Adelmo
Gaetano,Gioachino
Durante,Vincenza
